CampaignId,CampaignName,CampaignStatus,AdSetId,AdSetName,AdSetGoal,AdId,AdName,AdStatus,CreativeId,instagram_permalink_url,AdInsightsDate,Impressions,Reach,Frequency,CTR,Spend,Clicks,UniqueClicks,InlineLinkClicks,UniqueInlineLinkClicks,PostEngagements,Revenue_1d_click,Revenue_7d_click,Revenue_28d_click,Revenue_1d_view,Revenue_7d_view,Revenue_28d_view,CampaignCreatedTime,CampaignStartTime,CampaignStopTime,CampaignObjective,CampaignLifetimeBudget,CampaignDailyBudget
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-06,3741,3305,1.131921,1.095964,11.1,41,41,35,35,35,0,70,70,0,10,70,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-25,932,869,1.072497,0.751073,3.92,7,7,5,5,5,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-26,3104,2310,1.343723,0.998711,13.41,31,30,13,13,16,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-07,4222,3686,1.145415,0.947418,12.01,40,39,16,16,20,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-27,3710,2136,1.736891,0.6469,13.16,24,19,13,12,19,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-08,1679,1535,1.093811,0.83383,4.51,14,14,6,6,7,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-09,450,413,1.089588,2.222222,1.02,10,10,6,6,6,0,0,10,0,137,10,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-10,747,660,1.131818,1.204819,2.26,9,9,7,7,7,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-11,493,439,1.123007,1.622718,1.28,8,7,3,3,4,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-12,376,322,1.167702,1.329787,0.96,5,5,3,3,3,0,0,0,10,60,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-13,556,487,1.141684,1.798561,1.63,10,9,9,8,9,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-14,729,631,1.155309,1.508916,1.72,11,9,5,4,5,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-15,798,687,1.161572,1.879699,2.04,15,14,9,9,10,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-16,367,337,1.089021,1.634877,0.66,6,6,4,4,5,0,0,80,0,0,80,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
